Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1279411200,2010-07-18T00:00:00,2.67E-05,2.24E-05,2.44E-05,0.000233717,0.000196712,0.000214241
1279497600,2010-07-19T00:00:00,2.68E-05,2.26E-05,2.46E-05,0.000235075,0.000197855,0.000215486
1279584000,2010-07-20T00:00:00,2.72E-05,2.29E-05,2.50E-05,0.000238699,0.000200905,0.000218807
1279670400,2010-07-21T00:00:00,2.84E-05,2.39E-05,2.61E-05,0.000249343,0.000209864,0.000228565
1279756800,2010-07-22T00:00:00,2.82E-05,2.37E-05,2.59E-05,0.000247305,0.000208148,0.000226696
1279843200,2010-07-23T00:00:00,2.85E-05,2.40E-05,2.61E-05,0.000250023,0.000210436,0.000229187
1279929600,2010-07-24T00:00:00,2.86E-05,2.41E-05,2.62E-05,0.000250993,0.000211252,0.000230077
1280016000,2010-07-25T00:00:00,2.99E-05,2.52E-05,2.74E-05,0.000262446,0.000220892,0.000240575
1280102400,2010-07-26T00:00:00,3.15E-05,2.65E-05,2.88E-05,0.00027584,0.000232165,0.000252853
1280188800,2010-07-27T00:00:00,3.23E-05,2.72E-05,2.96E-05,0.000283516,0.000238626,0.000259889
1280275200,2010-07-28T00:00:00,3.25E-05,2.74E-05,2.98E-05,0.000284852,0.000239751,0.000261115
1280361600,2010-07-29T00:00:00,3.40E-05,2.86E-05,3.11E-05,0.000297691,0.000250556,0.000272883
1280448000,2010-07-30T00:00:00,3.51E-05,2.95E-05,3.22E-05,0.000307557,0.000258861,0.000281927
1280534400,2010-07-31T00:00:00,3.69E-05,3.11E-05,3.39E-05,0.000323878,0.000272597,0.000296888
1280620800,2010-08-01T00:00:00,3.90E-05,3.28E-05,3.57E-05,0.000341447,0.000287384,0.000312993
1280707200,2010-08-02T00:00:00,4.08E-05,3.43E-05,3.74E-05,0.000357469,0.00030087,0.00032768
1280793600,2010-08-03T00:00:00,4.27E-05,3.59E-05,3.91E-05,0.000373934,0.000314728,0.000342773
